code	kanji	reading
0x1200	状	상
0x1201	南	남
0x1202	器	기
0x1203	入	입
0x1204	根	근
0x1205	持	지
0x1206	足	족
0x1207	塔	탑
0x1208	事	사
0x1209	海	해
0x120a	他	타
0x120b	遠	원
0x120c	売	매
0x120d	知	지
0x120e	苦	고
0x120f	助	조
0x1210	少	소
0x1211	場	장
0x1212	供	공
0x1213	後	후
0x1214	設	설
0x1215	学	학
0x1216	道	도
0x1217	前	전
0x1218	心	심
0x1219	者	자
0x121a	族	족
0x121b	傢	가
0x121c	仕	사
0x121d	形	형
0x121e	東	동
0x121f	武	무
0x1220	賢	현
0x1221	城	성
0x1222	帰	귀
0x1223	人	인
0x1224	大	대
0x1225	竜	용
0x1226	度	도
0x1227	攻	공
0x1228	所	소
0x1229	金	금
0x122a	装	장
0x122b	外	외
0x122c	願	원
0x122d	気	기
0x122e	来	내
0x122f	祖	조
0x1230	撃	격
0x1231	待	대
0x1232	敵	적
0x1233	行	행
0x1234	下	하
0x1235	戦	전
0x1236	考	고
0x1237	好	호
0x1238	出	출
0x1239	黒	흑
0x123a	特	특
0x123b	作	작
0x123c	弱	약
0x123d	口	구
0x123e	町	정
0x123f	盗	도
0x1240	楽	악
0x1241	君	군
0x1242	怖	포
0x1243	師	사
0x1244	翼	익
0x1245	部	부
0x1246	身	신
0x1247	早	조
0x1248	界	계
0x1249	宝	보
0x124a	頼	뇌
0x124b	種	종
0x124c	見	견
0x124d	年	연
0x124e	殺	살
0x124f	親	친
0x1250	態	태
0x1251	北	북
0x1252	恋	연
0x1253	守	수
0x1254	老	노
0x1255	今	금
0x1256	神	신
0x1257	無	무
0x1258	命	명
0x1259	遊	유
0x125a	具	구
0x125b	方	방
0x125c	屋	옥
0x125d	言	언
0x125e	王	왕
0x125f	調	조
0x1260	若	약
0x1261	彼	피
0x1262	土	토
0x1263	定	정
0x1264	山	산
0x1265	魔	마
0x1266	手	수
0x1267	匠	장
0x1268	血	혈
0x1269	様	양
0x126a	申	신
0x126b	地	지
0x126c	性	성
0x126d	法	법
0x126e	西	서
0x126f	防	방
0x1270	力	역
0x1271	信	신
0x1272	思	사
0x1273	運	운
0x1274	々	(반복기호·원본유지)
0x1275	芸	운
0x1276	日	일
0x1277	世	세
0x1278	近	근
0x1279	買	매
0x127a	備	비
0x127b	門	문
0x127c	私	사
0x127d	時	시
0x127e	長	장
0x127f	協	협
0x1280	分	분
0x1281	素	소
0x1282	森	삼
0x1283	動	동
0x1284	樹	수
0x1285	聞	문
0x1286	休	휴
0x1287	教	교
0x1288	能	능
0x1289	名	명
0x128a	声	성
0x128b	草	초
0x128c	味	미
0x128d	替	체
0x128e	村	촌
0x128f	話	화
0x1290	男	남
0x1291	何	하
0x1292	邪	사
0x1293	説	설
0x1294	使	사
0x1295	負	부
0x1296	体	체
0x1297	良	양
0x1298	中	중
0x1299	生	생
0x129a	女	여
0x129b	会	회
0x129c	悪	악
0x129d	名	명
0x129e	鳥	조
0x129f	勇	용
0x12a0	隊	대
0x12a1	上	상
0x12a2	合	합
0x12a3	色	색
0x12a4	子	자
0x12a5	父	부
0x12a6	夜	야
0x12a7	勝	승
0x12a8	国	국
0x12a9	強	강
0x12aa	向	향
0x12ab	物	물
0x12ac	死	사
0x12ad	仲	중
0x12ae	母	모
0x12af	漢	한
0x12b0	羅	나
0x12b1	狂	광
0x12b2	烈	열
0x12b3	御	어
0x12b4	利	이
0x12b5	品	품
0x12b6	配	배
0x12b7	圧	압
0x12b8	移	이
0x12b9	加	가
0x12ba	間	간
0x12bb	画	화
0x12bc	決	결
0x12bd	宿	숙
0x12be	字	자
0x12bf	終	종
0x12c0	全	전
0x12c1	追	추
0x12c2	逃	도
0x12c3	闘	투
0x12c4	文	문
0x12c5	並	병
0x12c6	滅	멸
0x12c7	面	면
0x12c8	了	요
0x12c9	異	이
0x12ca	押	압
0x12cb	化	화
0x12cc	火	화
0x12cd	開	개
0x12ce	視	시
0x12cf	初	초
0x12d0	常	상
0x12d1	聖	성
